Cycle,PC001,PC002,PC003,PC004,PC005,PC006,PC007,PC008,PC009,PC010,PC011,PC012,PC013,PC014,PC015,PC016,PC017,PC018,PC019,PC020,PC021,PC022,PC023,PC024,PC025,PC026,PC027,PC028,PC029,PC030,PC031,PC032,PC033,PC034,PC035,PC036,PC037,PC038,PC039,PC040,PC041,PC042,PC043,PC044,PC045,PC046,PC047,PC048,PC049,PC050,PC051,PC052,PC053,PC054,PC055,PC056,PC057,PC058,PC059,PC060,PC061,PC062,PC063,PC064,PC065,PC066,PC067,PC068,PC069,PC070,PC071,PC072,PC073,PC074,PC075,PC076,PC077,PC078,PC079,PC080,PC081,PC082,PC083,PC084,PC085,PC086,PC087,PC088,PC089,PC090,PC091,PC092,PC093,PC094,PC095,PC096,PC097,PC098,PC099,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131
212,,,,,,,37.61,,74.183,,74.584,,69.872,67.282,,,,68.338,65.452,34.776,,62.879,66.327,41.559,70.956,39.105,40.539,72.134,72.589,,,,,,70.575,,42.583,72.483,,67.44,,65.828,65.208,,,64.679,64.408,67.367,,,40.625,37.305,69.268,69.969,68.975,71.063,69.796,38.313,41.015,40.058,38.766,68.409,72.203,40.087,39.026,40.107,67.843,69.13,69.606,39.075,39.322,40.329,,,,,38.642,,79.62,80.027,81.156,42.167,43.291,38.955,,38.994,34.045,37.143,26.525,34.565,37.81963,40.69094,38.14737,7.501791,37.05999,37.43639,32.73892,26.65233,36.47075,39.45767,,,,41.09751,29.85092,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,37.586,,74.122,,74.533,,69.826,67.215,,,,68.29,65.345,34.749,,62.775,66.257,41.542,70.915,39.071,40.521,72.089,72.546,,,,,,70.519,,42.547,72.441,,67.395,,65.783,65.167,,,64.636,64.374,67.327,,,40.591,37.279,69.232,69.926,68.933,71.011,69.743,38.285,40.99,40.013,38.752,68.371,72.153,40.06,38.984,40.081,67.801,69.084,69.56,39.059,39.297,40.311,,,,,38.533,,79.556,79.983,81.12,42.129,43.242,40.276,,38.951,33.953,37.119,26.469,34.395,37.71966,40.6469,38.0979,7.371106,36.99773,37.39952,32.70108,26.48292,36.41747,39.42073,,,,41.02192,29.70071,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,37.563,,74.06,,74.483,,69.78,67.148,,,,68.241,65.238,34.723,,62.669,66.185,41.525,70.873,39.036,40.501,72.045,72.502,,,,,,70.463,,42.519,29.822,,67.349,,65.738,65.124,,,64.592,64.333,67.287,,,40.56,37.252,69.192,69.883,68.89,70.958,69.689,38.257,40.964,39.97,38.738,68.343,72.103,40.032,38.944,40.053,67.758,69.039,69.512,39.041,39.273,40.291,,,,,38.424,,79.491,79.94,81.082,42.089,43.19,40.277,,38.908,33.862,37.096,26.414,34.225,37.6206,40.60295,38.0491,7.251153,36.92748,37.36349,32.65521,26.31677,36.3661,39.3846,,,,40.94573,29.55761,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,37.542,,73.997,,74.43,,69.734,67.081,,,,68.191,65.13,34.696,,62.563,66.116,41.509,70.832,38.989,40.483,71.999,72.458,,,,,,70.406,,42.49,,,67.302,,65.693,65.082,,,64.549,64.297,67.247,,,40.525,37.227,69.153,69.84,68.847,70.905,69.636,38.229,40.938,39.926,38.724,68.299,72.051,40.004,38.903,40.027,67.717,68.991,69.464,39.025,39.249,40.272,,,,,38.316,,79.427,79.898,81.019,42.049,43.137,40.255,,38.866,33.773,37.073,26.361,34.058,37.52203,40.55846,38.00057,7.136719,36.86776,37.32998,32.61583,26.15455,36.31463,39.35084,,,,40.86804,29.4214,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,37.522,,73.933,,74.379,,69.685,67.016,,,,68.142,65.022,34.664,,62.454,66.044,41.492,70.791,38.966,40.463,71.954,72.415,,,,,,70.348,,42.459,,,67.255,,65.648,65.039,,,64.505,64.257,67.206,,,40.492,37.198,69.113,69.798,68.802,70.853,69.581,38.2,40.911,39.885,38.71,68.257,72.001,39.977,38.86,40.002,67.672,68.942,69.415,39.008,39.227,40.253,,,,,38.206,,79.362,79.855,80.918,42.005,43.085,40.217,,38.823,33.682,37.048,26.308,33.889,37.42313,40.51359,37.95099,7.01982,36.79609,37.29721,32.57328,25.99081,36.2635,39.31828,,,,40.79181,29.2857,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,37.496,,73.869,,74.327,,69.637,66.95,,,,68.093,64.912,34.638,,62.345,65.973,41.476,70.748,38.933,40.441,71.906,72.37,,,,,,,,42.432,,,67.208,,65.602,64.996,,,64.46,64.221,67.166,,,40.46,37.173,69.071,69.755,68.758,70.8,69.525,38.17,40.886,39.843,38.696,68.205,71.949,39.95,38.817,39.976,67.63,68.894,69.364,38.991,39.206,40.233,,,,,38.095,,79.279,79.811,80.821,41.96,43.03,40.171,,38.782,33.591,37.027,26.257,33.721,37.32328,40.46934,37.90317,6.914615,36.73942,37.26405,32.52861,25.8261,36.2149,39.28562,,,,40.71234,29.15286,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,37.474,,73.802,,74.272,,69.587,66.884,,,,68.043,64.803,0,,62.234,65.901,41.46,70.705,38.898,40.425,71.862,72.326,,,,,,,,42.401,,,67.161,,65.556,64.952,,,64.416,64.183,67.127,,,40.425,37.11,69.03,69.712,68.713,70.747,69.471,38.14,40.86,39.8,38.683,68.162,71.897,39.922,38.774,39.951,67.583,68.846,69.317,38.973,39.184,40.215,,,,,37.986,,79.113,79.731,80.724,41.912,42.974,40.116,,38.74,33.499,37.003,26.204,33.555,37.22463,40.42456,37.85409,6.809087,36.67155,37.22854,32.49129,25.66421,36.16672,39.25188,,,,40.63284,29.01829,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,37.454,,73.735,,74.222,,69.538,66.816,,,,67.994,64.692,,,62.123,65.827,41.444,70.663,38.864,40.408,71.815,72.278,,,,,,,,42.373,,,67.115,,65.51,64.908,,,64.372,64.144,67.085,,,40.39,37.116,68.988,69.668,68.668,70.695,69.415,38.11,40.833,39.758,38.669,68.089,71.846,39.896,38.734,39.925,67.54,68.798,69.268,38.956,39.161,40.195,,,,,37.874,,78.922,79.636,80.619,41.862,42.917,40.055,,38.698,33.408,36.98,26.151,33.387,37.12419,40.37984,37.8044,6.702596,36.61066,37.19382,32.44728,25.50505,36.12055,39.21802,,,,40.55089,28.88704,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,37.431,,73.667,,74.17,,69.491,66.749,,,,67.945,64.58,,,62.009,65.757,41.428,70.62,38.829,40.389,71.77,72.238,,,,,,,,42.343,,,67.068,,65.465,64.865,,,64.327,64.104,67.045,,,40.354,37.091,68.947,69.625,68.623,70.637,69.36,38.08,40.809,39.714,38.655,68.049,71.793,39.869,38.688,39.898,67.498,68.749,69.219,38.939,39.137,40.175,,,,,37.763,,78.726,79.537,80.507,41.811,42.859,39.99,,38.654,33.316,36.958,26.1,33.222,37.02225,40.33405,37.75444,6.606761,36.55021,37.15707,32.4083,25.34524,36.07307,39.18327,,,,40.46489,28.75179,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,37.404,,73.599,,74.119,,69.444,66.681,,,,67.896,64.467,,,61.896,65.684,41.412,70.577,38.794,40.372,71.722,72.191,,,,,,,,42.317,,,,,65.419,64.82,,,64.282,64.067,67.004,,,40.318,37.065,68.904,69.581,68.577,70.59,69.284,38.049,40.782,39.671,38.641,68.008,71.739,39.841,38.645,39.872,67.453,68.7,69.169,38.921,39.113,40.156,,,,,37.652,,78.518,79.44,80.391,41.756,42.803,39.922,,38.61,33.224,36.935,26.05,33.057,36.91977,40.28901,37.70691,6.507478,36.48987,37.12146,32.371,25.18288,36.02652,39.14704,,,,40.3762,28.62116,,,,,,,,,,,,,,,,,,,,,,,,,,
