Cycle,PC001,PC002,PC003,PC004,PC005,PC006,PC007,PC008,PC009,PC010,PC011,PC012,PC013,PC014,PC015,PC016,PC017,PC018,PC019,PC020,PC021,PC022,PC023,PC024,PC025,PC026,PC027,PC028,PC029,PC030,PC031,PC032,PC033,PC034,PC035,PC036,PC037,PC038,PC039,PC040,PC041,PC042,PC043,PC044,PC045,PC046,PC047,PC048,PC049,PC050,PC051,PC052,PC053,PC054,PC055,PC056,PC057,PC058,PC059,PC060,PC061,PC062,PC063,PC064,PC065,PC066,PC067,PC068,PC069,PC070,PC071,PC072,PC073,PC074,PC075,PC076,PC077,PC078,PC079,PC080,PC081,PC082,PC083,PC084,PC085,PC086,PC087,PC088,PC089,PC090,PC091,PC092,PC093,PC094,PC095,PC096,PC097,PC098,PC099,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131
1,46.542,88.099,47.103,44.922,46.626,89.255,43.344,43.873,89.095,89.914,89.97,44.816,88.833,87.006,41.925,45.941,44.645,86.321,86.641,43.771,43.933,87.277,87.435,46.603,88.303,44.442,45.369,88.2,88.954,50.84,49.991,49.19,51.215,90.469,89.826,45.275,48.22,90.372,83.19,85.226,82.547,84.73,82.766,80.425,79.38,82.32,80.173,83.775,84.512,78.969,45.02,43.017,85.611,86.802,86.209,87.516,87.12,43.769,45.972,45.934,42.733,86.247,88.604,46.478,46.787,46.285,86.291,87.086,87.375,45.668,46.502,45.948,91.633,92.168,91.737,48.55,48.611,45.915,93.809,94.078,94.379,49.602,49.601,47.208,,46.614,43.635,43.918,44.334,45.995,47.7472,48.14041,45.89985,43.84124,48.11739,46.3919,44.20779,44.77891,46.37086,46.07046,47.41719,,,46.96706,45.02956,46.07661,,,46.76244,46.04304,46.06517,45.36889,,,46.86559,47.05741,47.11836,45.60913,45.29501,46.599,180.9849,90.09937,90.96261,90.28451,89.38954,91.711,47.51747,45.85217,46.15224,45.69591,45.90876
2,46.489,87.662,47.147,44.983,46.44,88.991,43.237,43.654,88.86,89.661,89.69,44.671,88.476,86.59,41.685,45.75,44.365,85.895,86.276,43.566,43.734,86.856,87.059,46.562,88.036,44.5,45.433,88.011,88.706,49.023,48.288,47.192,49.439,90.264,89.61,45.251,48.267,90.139,82.671,84.769,82.003,84.26,82.328,79.867,78.783,81.818,79.762,83.334,84.013,78.333,44.876,42.904,85.292,86.471,85.746,87.138,86.69,43.601,45.829,45.799,42.625,85.659,88.295,46.36,46.64,46.167,84.9,85.75,86.156,44.901,45.729,45.287,91.358,91.893,91.545,48.489,48.57,45.885,93.801,94.048,94.372,49.67,49.661,47.283,,46.487,43.354,43.568,43.969,45.834,47.68822,48.09885,45.82345,43.80331,48.05792,46.32555,44.09189,44.62442,46.31986,46.03826,47.39697,,,46.93433,44.94564,45.99452,,,46.64062,46.00317,45.86748,45.25129,,,46.75921,46.9379,47.01111,45.5401,45.20349,46.5182,180.3602,89.83913,90.68498,89.98647,89.06762,91.40064,47.41355,45.78505,46.03465,45.61839,45.86462
3,46.405,87.207,47.126,45.011,46.294,88.599,43.141,43.453,88.597,89.399,89.445,44.513,88.086,86.202,41.466,45.595,44.12,85.557,85.93,43.386,43.56,86.484,86.692,46.508,87.764,44.513,45.425,87.759,88.415,48.486,47.776,46.407,48.967,90.047,89.396,45.204,48.267,89.908,82.234,84.379,81.512,83.88,81.944,79.372,78.284,81.386,79.383,82.972,83.564,77.776,44.756,42.825,85.001,86.16,85.324,86.824,86.341,43.463,45.711,45.687,42.54,85.151,87.979,46.273,46.514,46.06,84.335,85.281,85.719,44.749,45.592,45.142,91.02,91.575,91.225,48.397,48.498,45.846,93.709,93.922,94.283,49.694,49.688,47.309,,46.398,42.983,43.162,43.568,45.694,47.61957,48.03518,45.733,43.68419,47.97547,46.24035,43.93936,44.50962,46.24035,45.98132,47.35334,,,46.89243,44.87984,45.90809,,,46.53153,45.95573,45.75122,45.13218,,,46.65496,46.81634,46.9039,45.45923,45.1112,46.42542,179.6725,89.57561,90.39222,89.6915,88.80885,91.10631,47.30934,45.71117,45.92088,45.53355,45.79185
4,46.335,86.808,47.154,45.037,46.212,88.37,43.055,43.262,88.339,89.136,89.209,44.404,87.699,85.85,41.282,45.462,43.903,85.221,85.638,43.226,43.418,86.135,86.356,46.455,87.506,44.515,45.398,87.516,88.133,47.906,47.466,45.816,48.503,89.825,89.165,45.145,48.277,89.681,81.827,84.034,81.061,83.526,81.605,78.94,77.856,81.02,79.048,82.662,83.156,77.285,44.658,42.753,84.72,85.875,84.944,86.536,86.038,43.35,45.613,45.575,42.466,84.729,87.688,46.166,46.398,45.962,83.915,84.889,85.34,44.621,45.452,45.025,90.652,91.231,90.915,48.278,48.418,45.788,93.549,93.769,94.157,49.689,49.682,47.304,,46.32,42.612,42.756,43.188,45.542,47.54384,47.96448,45.67691,43.55126,47.91431,46.1159,43.83085,44.40283,46.15867,45.91266,47.2957,,,46.8426,44.82186,45.8289,,,46.43396,45.89134,45.65756,45.01451,,,46.5515,46.69894,46.80767,45.38184,45.02163,46.33941,178.9823,89.31273,90.11918,89.40952,88.57591,90.84055,47.21693,45.64093,45.81882,45.45363,45.71144
5,46.256,86.408,47.142,45.048,46.094,88.084,42.975,43.097,88.095,88.886,88.991,44.289,87.372,85.54,41.124,45.331,43.697,84.935,85.364,43.1,43.3,85.814,86.042,46.403,87.265,44.519,45.364,87.284,87.869,47.76,47.07,45.325,48.105,89.605,88.943,45.102,48.29,89.463,81.466,83.722,80.641,83.184,81.3,78.561,77.47,80.673,78.733,82.38,82.785,76.839,44.571,42.691,84.447,85.617,84.6,86.272,85.756,43.251,45.533,45.469,42.404,84.364,87.421,46.077,46.292,45.874,83.557,84.539,85.016,44.514,45.356,44.927,90.286,90.892,90.589,48.123,48.336,45.723,93.38,93.597,94.017,49.67,49.663,47.295,,46.245,42.28,42.396,42.848,45.412,47.46936,47.90247,45.61755,43.41312,47.82743,45.95276,43.74273,44.30461,46.08057,45.84403,47.22499,,,46.80715,44.77124,45.76336,,,46.34687,45.83037,45.55276,44.91421,,,46.46733,46.58607,46.71941,45.31346,44.9321,46.26169,178.3917,89.07505,89.86513,89.15452,88.35524,90.59606,47.13322,45.57576,45.71964,45.35207,45.64
6,46.147,86.067,47.128,45.056,45.972,87.817,42.902,42.942,87.863,88.646,88.787,44.184,87.057,85.248,40.981,45.219,43.524,84.663,85.097,42.988,43.202,85.508,85.753,46.357,87.041,44.53,45.286,87.063,87.626,47.146,46.776,44.909,47.688,89.394,88.727,45.057,48.268,89.258,81.128,83.423,80.262,82.865,81.023,78.215,77.119,80.342,78.453,82.124,82.451,76.432,44.494,42.637,84.187,85.381,84.292,86.031,85.5,43.162,45.456,45.352,42.348,84.037,87.177,45.989,46.182,45.797,83.239,84.234,84.73,44.422,45.277,44.84,89.971,90.57,90.33,47.99,48.258,45.66,93.21,93.421,93.873,49.639,49.629,47.273,,46.196,41.997,42.087,42.561,45.514,47.395,47.85101,45.54938,43.27913,47.76831,45.86596,43.67119,44.20515,46.00554,45.77938,47.18697,,,46.77493,44.7266,45.69817,,,46.26502,45.7609,45.47159,44.82384,,,46.38592,46.49065,46.63875,45.25025,44.84161,46.19199,177.8629,88.85976,89.6141,88.88165,88.15112,90.36984,47.05555,45.5136,45.61452,45.29325,45.56988
7,46.027,85.745,47.114,45.052,45.816,87.57,42.838,42.808,87.642,88.403,88.597,44.09,86.765,84.981,40.856,45.121,43.391,84.404,84.857,42.894,43.117,85.224,85.495,46.314,86.83,44.541,45.171,86.837,87.4,47.111,46.459,44.523,47.434,89.192,88.527,45.032,48.257,89.063,80.811,83.151,79.905,82.575,80.77,77.901,76.8,80.042,78.19,81.888,82.132,76.057,44.424,42.582,83.946,85.161,84.013,85.814,85.266,43.082,45.38,45.26,42.294,83.741,86.951,45.917,46.073,45.725,82.949,83.964,84.469,44.339,45.184,44.759,89.66,90.258,90.078,47.865,48.184,45.602,93.043,93.253,93.729,49.607,49.589,47.25,,46.147,41.765,41.836,42.321,45.463,47.33104,47.80317,45.49376,43.14905,47.69936,45.79821,43.59824,44.12561,45.93395,45.71021,47.15078,,,46.74427,44.68659,45.64238,,,46.19445,45.67604,45.40163,44.74348,,,46.30591,46.39909,46.5657,45.18903,44.75427,46.12626,177.1594,88.66052,89.38467,88.63532,87.96058,90.15963,46.98741,45.45159,45.50822,45.19886,45.50658
8,45.917,85.395,47.101,45.048,45.706,87.335,42.766,42.689,87.43,88.155,88.417,44.011,86.492,84.73,40.744,45.038,43.267,84.167,84.631,42.81,43.048,84.96,85.232,46.274,86.639,44.583,45.102,86.631,87.189,46.286,46.039,43.448,46.754,88.998,88.337,44.991,48.241,88.879,80.514,82.896,79.574,82.305,80.536,77.607,76.505,79.766,77.952,81.669,81.84,75.706,44.36,42.535,83.713,84.95,83.753,85.606,85.054,43.015,45.309,45.171,42.247,83.476,86.734,45.849,45.978,45.66,82.685,83.721,84.23,44.249,45.082,44.685,89.384,89.976,89.836,47.753,48.115,45.546,92.879,93.084,93.589,49.58,49.532,47.224,,46.099,41.578,41.637,42.124,45.41,47.26126,47.75056,45.44144,43.01938,47.64693,45.73529,43.5242,44.05913,45.86781,45.63924,47.1253,,,46.71942,44.65056,45.59283,,,46.12399,45.6166,45.33703,44.66876,,,46.23517,46.31421,46.50156,45.13363,44.67348,46.06337,176.6077,88.45012,89.16593,88.41316,87.78671,89.96418,46.91188,45.39465,45.39531,45.14364,45.44788
9,45.778,85.041,47.09,45.043,45.632,87.108,42.705,42.581,87.228,87.917,88.246,43.937,86.243,84.492,40.639,44.964,43.154,83.946,84.422,42.731,42.992,84.709,84.979,46.236,86.458,44.575,45.048,86.433,86.988,45.771,45.097,42.73,45.758,88.814,88.152,44.954,48.233,88.697,80.241,82.66,79.26,82.061,80.321,77.329,76.229,79.51,77.731,81.463,81.572,75.376,44.309,42.494,83.489,84.751,83.509,85.418,84.848,42.948,45.247,45.09,42.201,83.23,86.53,45.772,45.895,45.6,82.444,83.491,84.012,44.148,44.999,44.616,89.124,89.716,89.61,47.638,48.049,45.495,92.726,92.918,93.457,49.557,49.513,47.194,,46.052,41.421,41.477,41.967,45.364,47.19519,47.69712,45.39114,42.88173,47.58922,45.67445,43.52392,43.98159,45.80533,45.55808,47.13425,,,46.70139,44.61295,45.54744,,,46.06239,45.56137,45.27711,44.59965,,,46.16809,46.23453,46.43835,45.08027,44.60455,46.00364,176.0656,88.25642,88.95776,88.1946,87.61302,89.78157,46.85473,45.33019,45.29283,45.08238,45.38608
10,45.653,84.737,47.08,45.033,45.575,86.894,42.67,42.482,87.031,87.681,88.082,43.872,86.011,84.276,40.55,44.89,43.049,83.732,84.222,42.662,42.944,84.472,84.747,46.199,86.276,44.561,45,86.242,86.798,45.572,44.803,42.271,45.554,88.641,87.977,44.929,48.218,88.521,79.99,82.439,78.974,81.828,80.105,77.071,75.968,79.273,77.526,81.27,81.324,75.064,44.278,42.456,83.275,84.565,83.281,85.235,84.654,42.879,45.185,45.009,42.157,83.018,86.339,45.716,45.814,45.545,82.214,83.274,83.812,44.056,44.921,44.555,88.875,89.474,89.397,47.525,47.987,45.446,92.583,92.763,93.325,49.541,49.483,47.167,,46.005,41.286,41.344,41.832,45.32,47.13352,47.64424,45.34438,42.74231,47.50943,45.62044,43.45508,43.90854,45.74685,45.4843,47.13112,,,46.68108,44.57927,45.51205,,,46.00752,45.51225,45.21506,44.53125,,,46.10338,46.15972,46.38357,45.03267,44.53867,45.94619,175.5635,88.07505,88.75827,87.97487,87.45135,89.6085,46.78065,45.28272,45.19061,45.0377,45.31531
11,45.55,84.44,47.072,45.019,45.5,86.697,42.62,42.394,86.838,87.449,87.927,43.816,85.791,84.068,40.479,44.812,42.943,83.529,84.037,42.594,42.9,84.249,84.519,46.164,86.103,44.545,44.955,86.096,86.619,45.37,44.528,41.873,45.255,88.476,87.807,44.907,48.198,88.355,79.757,82.228,78.712,81.607,79.902,76.825,75.722,79.052,77.334,81.087,81.09,74.767,44.263,42.416,83.073,84.396,83.064,85.06,84.466,42.81,45.13,44.922,42.11,82.808,86.154,45.653,45.733,45.494,82.005,83.072,83.625,43.979,44.835,44.498,88.644,89.248,89.19,47.41,47.93,45.4,92.447,92.615,93.198,49.525,49.454,47.141,,45.965,41.163,41.226,41.709,45.278,47.07502,47.59256,45.29929,42.60516,47.45336,45.55586,43.38665,43.83878,45.69001,45.41934,47.12102,,,46.65822,44.5492,45.48649,,,45.95533,45.46744,45.15353,44.47022,,,46.04351,46.0884,46.32964,44.98651,44.47555,45.89728,175.0892,87.90301,88.56448,87.78407,87.29285,89.44535,46.71901,45.24344,45.07825,44.99733,45.24035
12,45.453,84.188,47.065,45.006,45.426,86.497,42.579,42.312,86.652,87.227,87.774,43.765,85.587,83.869,40.401,44.75,42.843,83.347,83.86,42.533,42.857,84.037,84.311,46.165,85.921,44.491,44.913,85.921,86.447,45.163,44.3,41.502,45.077,88.317,87.653,44.874,48.185,88.197,79.54,82.029,78.457,81.399,79.711,76.591,75.487,78.843,77.155,80.912,80.869,74.483,44.251,42.382,82.884,84.226,82.859,84.893,84.286,42.746,45.08,44.882,42.06,82.615,85.979,45.598,45.66,45.457,81.811,82.884,83.448,43.925,44.76,44.452,88.41,89.029,88.999,47.31,47.875,45.358,92.311,92.47,93.074,49.504,49.43,47.104,,45.925,41.045,41.119,41.598,45.239,47.0186,47.54603,45.25656,42.47194,47.40587,45.48341,43.31856,43.78304,45.63674,45.35297,47.10688,,,46.63411,44.51276,45.46174,,,45.90691,45.41675,45.09146,44.41192,,,45.98615,46.02045,46.27849,44.94542,44.41663,45.85259,174.618,87.74033,88.37986,87.58237,87.1439,89.29093,46.65766,45.20297,44.95136,44.959,45.16309
13,45.342,83.944,47.077,44.994,45.362,86.296,42.529,42.237,86.476,87.021,87.63,43.725,85.391,83.677,40.323,44.674,42.746,83.171,83.692,42.475,42.831,83.833,84.103,46.141,85.735,44.431,44.88,85.744,86.288,44.946,44.067,41.14,44.837,88.166,87.498,44.862,48.176,88.055,79.333,81.84,78.219,81.201,79.528,76.367,75.265,78.648,76.984,80.746,80.657,74.212,44.23,42.347,82.704,84.07,82.667,84.736,84.116,42.689,45.033,44.806,42.011,82.419,85.812,45.542,45.587,45.424,81.626,82.707,83.28,43.859,44.696,44.408,88.196,88.829,88.811,47.2,47.83,45.317,92.177,92.33,92.954,49.478,49.389,47.063,,45.884,40.937,41.019,41.494,45.202,46.96434,47.49964,45.21873,42.33831,47.364,45.41925,43.25856,43.71881,45.58585,45.2928,47.09147,,,46.6125,44.48618,45.43408,,,45.86142,45.37887,45.03661,44.35537,,,45.93274,45.95657,46.22859,44.9067,44.35781,45.81472,174.176,87.58851,88.19942,87.39671,86.99875,89.14462,46.59748,45.16687,44.8074,44.92227,45.08572
14,45.246,83.691,47.077,44.997,45.303,86.106,42.507,42.164,86.311,86.818,87.497,43.681,85.204,83.485,40.255,44.598,42.652,82.997,83.523,42.434,42.788,83.639,83.9,46.114,85.588,44.378,44.848,85.559,86.134,44.725,43.891,40.783,44.663,88.003,87.342,44.838,48.167,87.909,79.122,81.663,77.995,81.013,79.351,76.151,75.053,78.465,76.823,80.587,80.457,73.951,44.209,42.309,82.533,83.928,82.484,84.589,83.956,42.634,44.988,44.777,41.965,82.23,85.652,45.489,45.519,45.392,81.445,82.539,83.121,43.801,44.637,44.367,87.97,88.634,88.661,47.107,47.782,45.278,92.04,92.197,92.831,49.427,49.346,47.01,,45.846,40.837,40.929,41.395,45.167,46.91375,47.45576,45.17811,42.20385,47.31736,45.35399,43.19585,43.66303,45.53544,45.2408,47.06731,,,46.58966,44.45767,45.40087,,,45.8202,45.3367,44.98101,44.30482,,,45.8804,45.89466,46.18263,44.86623,44.30334,45.77026,173.7314,87.43778,88.01818,87.22094,86.86055,89.005,46.52667,45.13182,44.65344,44.88899,45.0144
15,45.147,83.452,47.076,44.99,45.249,85.921,42.456,42.097,86.153,86.635,87.375,43.638,85.026,83.31,40.188,44.541,42.563,82.833,83.356,42.383,42.762,83.451,83.722,46.09,85.43,44.329,44.817,85.384,85.989,44.507,43.706,40.431,44.458,87.84,87.187,44.819,48.165,87.765,78.929,81.492,77.775,80.833,79.182,75.942,74.85,78.287,76.669,80.432,80.265,73.7,44.165,42.283,82.37,83.789,82.31,84.448,83.804,42.58,44.947,44.733,41.922,82.048,85.501,45.44,45.449,45.362,81.277,82.381,82.968,43.735,44.579,44.332,87.738,88.438,88.501,47.014,47.747,45.258,91.901,92.073,92.708,49.402,49.305,46.944,,45.806,40.767,40.87,41.313,45.133,46.8561,47.41258,45.14321,42.06894,47.26472,45.28866,43.14238,43.60979,45.48778,45.19419,47.04862,,,46.57149,44.43617,45.36738,,,45.77899,45.29436,44.92312,44.25489,,,45.83091,45.83555,46.14724,44.83079,44.25323,45.7309,173.2946,87.2961,87.84019,87.0573,86.73096,88.87107,46.4667,45.09778,44.51674,44.8563,44.94557
16,45.057,83.241,47.085,44.978,45.194,85.726,42.415,42.032,86.004,86.478,87.256,43.587,84.856,83.141,40.127,44.479,42.478,82.679,83.197,42.327,42.739,83.27,83.543,46.059,85.271,44.287,44.787,85.213,85.848,44.294,43.538,40.087,44.289,87.699,87.02,44.79,48.175,87.631,78.751,81.33,77.563,80.663,79.017,75.74,74.656,78.115,76.52,80.284,80.075,73.457,44.132,42.23,82.215,83.655,82.144,84.314,83.657,42.532,44.908,44.687,41.881,81.862,85.358,45.399,45.385,45.325,81.115,82.225,82.823,43.678,44.523,44.305,87.523,88.247,88.339,46.928,47.716,45.233,91.761,91.952,92.586,49.366,49.259,46.892,,45.77,40.74,40.854,41.266,45.103,46.79763,47.36992,45.10839,41.92918,47.21232,45.22153,43.07149,43.55869,45.44205,45.14834,47.02641,,,46.55101,44.40967,45.34196,,,45.73925,45.24695,44.87128,44.20525,,,45.78243,45.77787,46.10738,44.79791,44.20464,45.69247,129.8351,87.15911,87.66753,86.8994,86.60907,88.74062,46.38222,45.06473,44.40897,44.82483,44.87252
17,44.97,83.026,47.081,44.98,45.136,85.532,42.379,41.972,85.867,86.327,87.136,43.552,84.693,82.978,40.065,44.417,42.391,82.527,83.046,42.279,42.716,83.095,83.368,46.033,85.116,44.255,44.756,85.052,85.712,44.088,43.374,39.746,44.101,87.552,86.863,44.771,48.177,87.5,78.577,81.172,77.355,80.501,78.861,75.546,74.469,77.95,76.375,80.142,79.895,73.223,44.105,42.198,82.069,83.511,81.982,84.185,83.518,42.487,44.872,44.627,41.842,81.708,85.218,45.357,45.324,45.284,80.962,82.078,82.685,43.624,44.475,44.286,87.314,88.064,88.185,46.851,47.685,45.208,91.628,91.839,92.468,49.323,49.219,46.852,,45.735,40.749,40.869,41.253,45.074,46.74012,47.32749,45.07369,41.7837,47.16171,45.15559,43.01317,43.5124,45.39876,45.10304,47.01779,,,46.53141,44.38797,45.31387,,,45.70284,45.20067,44.82238,44.15727,,,45.73453,45.72452,46.06742,44.75545,44.1611,45.65169,129.4922,87.02537,87.5028,86.74999,86.49258,88.61533,46.3052,45.03274,44.30758,44.79348,44.81556
18,44.885,82.813,47.066,44.982,45.079,85.353,42.334,41.915,85.733,86.21,87.014,43.513,84.537,82.823,40.003,44.362,42.309,82.379,82.893,42.229,42.694,82.925,83.199,46.003,84.966,44.225,44.73,84.892,85.579,43.886,43.209,39.452,43.948,87.426,86.699,44.753,48.175,87.374,78.413,81.02,77.155,80.344,78.709,75.357,74.289,77.792,76.232,80.003,79.725,72.996,44.076,42.185,81.922,83.373,81.828,84.061,83.383,42.444,44.836,44.587,41.81,81.544,85.085,45.316,45.267,45.252,80.812,81.937,82.552,43.569,44.431,44.264,87.127,87.889,88.025,46.777,47.651,45.192,91.5,91.726,92.351,49.276,49.181,46.806,,45.699,40.762,40.887,41.257,45.044,46.68296,47.28178,45.03902,41.63919,47.11208,45.08929,42.95287,43.45255,45.35645,45.05914,47.00075,,,46.51232,44.36271,45.28933,,,45.66723,45.15348,44.78023,44.10851,,,45.68698,45.66999,46.02739,44.71904,44.12188,45.61709,129.1502,86.89086,87.34403,86.61009,86.37487,88.49354,46.23078,45.00116,44.21267,44.76453,44.7613
19,44.804,82.609,47.038,44.962,45.02,85.181,42.292,41.86,85.609,86.079,86.896,43.461,84.385,82.673,39.945,44.308,42.228,82.242,82.75,42.171,42.676,82.76,83.033,45.972,84.823,44.193,44.706,84.742,85.453,43.683,43.048,39.145,43.772,87.301,86.502,44.729,48.167,87.245,78.256,80.873,76.959,80.194,78.56,75.173,74.114,77.643,76.094,79.868,79.554,72.776,44.049,42.173,81.777,83.245,81.68,83.942,83.255,42.403,44.802,44.535,41.771,81.365,84.955,45.276,45.211,45.219,80.669,81.802,82.42,43.52,44.389,44.241,86.941,87.718,87.851,46.71,47.619,45.167,91.378,91.62,92.236,49.232,49.142,46.762,,45.665,40.765,40.893,41.252,45.015,46.62489,47.23126,45.00498,41.49616,47.06608,45.02031,42.90255,43.39066,45.31596,45.01548,46.97799,,,46.49189,44.33195,45.26872,,,45.64899,45.10738,44.73711,44.06068,,,45.64288,45.61631,45.98499,44.68705,44.0835,45.57321,128.8568,86.76462,87.19941,86.47272,86.26292,88.37585,46.16082,44.97417,44.1236,44.73751,44.70923
20,44.727,82.412,47.021,44.968,44.963,85.014,42.25,41.809,85.493,85.958,86.782,43.415,84.241,82.528,39.893,44.255,42.15,82.105,82.614,42.118,42.661,82.594,82.874,45.944,84.684,44.163,44.682,84.597,85.33,43.48,42.891,38.845,43.615,87.178,86.289,44.715,48.162,87.122,78.103,80.73,76.771,80.048,78.418,74.995,73.948,77.5,75.961,79.738,79.384,72.562,44.023,42.145,81.637,83.121,81.538,83.827,83.133,42.364,44.773,44.507,41.741,81.222,84.828,45.241,45.159,45.187,80.533,81.672,82.294,43.469,44.351,44.215,86.763,87.555,87.719,46.648,47.589,45.143,91.262,91.517,92.115,49.183,49.109,46.721,,45.63,40.751,40.883,41.233,44.988,46.571,47.17767,44.97242,41.35661,47.02204,44.95688,42.84781,43.32853,45.27707,44.97334,46.95381,,,46.47278,44.30125,45.24134,,,45.62468,45.05986,44.69186,44.0133,,,45.59498,45.55951,45.94528,44.6579,44.04516,45.54483,128.5829,86.63754,87.06722,86.33981,86.15727,88.26403,46.09423,44.9502,44.0388,44.71209,44.66357
21,44.656,82.223,47.003,44.961,44.906,84.852,42.195,41.759,85.373,85.835,86.672,43.372,84.1,82.389,39.842,44.201,42.072,81.972,82.478,42.058,42.638,82.432,82.72,45.905,84.55,44.133,44.662,84.459,85.212,43.279,42.74,38.553,43.438,87.047,86.126,44.692,48.159,87.004,77.955,80.59,76.59,79.906,78.279,74.822,73.785,77.362,75.833,79.61,79.221,72.354,43.999,42.113,81.503,83.004,81.401,83.717,83.017,42.328,44.75,44.467,41.712,81.088,84.705,45.208,45.109,45.155,80.403,81.547,82.174,43.422,44.311,44.191,86.584,87.394,87.572,46.588,47.563,45.109,91.149,91.416,91.996,49.137,49.064,46.679,,45.592,40.722,40.858,41.206,44.962,46.51909,47.1255,44.94183,41.21882,46.98239,44.89854,42.78952,43.26815,45.23802,44.92809,46.93064,,,46.45417,44.26439,45.2142,,,45.5952,45.01122,44.64648,43.96658,,,45.55574,45.50495,45.90516,44.62295,44.01065,45.50715,128.3299,86.5083,86.93886,86.22799,86.04461,88.15441,46.03045,44.92156,43.95747,44.68435,44.61296
22,44.593,82.042,46.99,44.982,44.849,84.697,42.146,41.712,85.249,85.723,86.568,43.325,83.963,82.253,39.796,44.153,41.997,81.84,82.347,42.009,42.61,82.271,82.572,45.88,84.416,44.107,44.642,84.322,85.095,43.082,42.59,38.27,43.293,86.913,85.929,44.668,48.185,86.886,77.814,80.453,76.415,79.769,78.144,74.655,73.627,77.227,75.709,79.486,79.062,72.152,43.971,42.085,81.369,82.888,81.269,83.611,82.905,42.292,44.74,44.433,41.683,80.941,84.586,45.176,45.062,45.125,80.276,81.426,82.057,43.378,44.27,44.164,86.416,87.234,87.428,46.532,47.536,45.082,91.041,91.316,91.877,49.096,49.023,46.634,,45.556,40.687,40.831,41.173,44.934,46.47062,47.07922,44.91375,41.08198,46.94319,44.84489,42.73793,43.21365,45.19963,44.88217,46.90808,,,46.43657,44.23503,45.18473,,,45.56466,44.96532,44.60128,43.92023,,,45.51655,45.44787,45.8762,44.58963,43.97707,45.46599,128.0596,86.38463,86.81052,86.10367,85.93005,88.04705,45.96887,44.8983,43.87689,44.65985,44.56202
23,44.53,81.862,46.979,44.988,44.793,84.54,42.109,41.666,85.132,85.606,86.465,43.283,83.831,82.122,39.749,44.099,41.922,81.711,82.217,41.954,42.606,82.111,82.429,45.851,84.288,44.09,44.62,84.192,84.98,42.888,42.443,37.994,43.134,86.781,85.747,44.642,48.21,86.766,77.676,80.322,76.245,79.635,78.012,74.491,73.475,77.095,75.592,79.363,78.908,71.955,43.947,42.017,81.241,82.78,81.14,83.507,82.795,42.259,44.708,44.401,41.65,80.798,84.471,45.142,45.018,45.092,80.152,81.311,81.945,43.334,44.234,44.134,86.249,87.081,87.276,46.479,47.509,45.057,90.938,91.22,91.76,49.061,48.991,46.583,,45.52,40.656,40.803,41.135,44.906,46.42454,47.03133,44.88691,40.93848,46.90575,44.79192,42.68284,43.17204,45.16272,44.83829,46.88215,,,46.41859,44.20967,45.15757,,,45.53394,44.91747,44.55497,43.87501,,,45.47384,45.39142,45.84498,44.55502,43.94411,45.42076,127.7967,86.26537,86.68673,85.98079,85.81649,87.94452,45.91088,44.875,43.80687,44.6261,44.50397
24,44.466,81.689,46.958,44.996,44.737,84.386,42.071,41.622,85.025,85.5,86.368,43.244,83.702,81.994,39.705,44.053,41.847,81.586,82.09,41.902,42.571,81.953,82.281,45.813,84.159,44.066,44.602,84.063,84.866,42.696,42.299,37.725,42.964,86.653,85.602,44.617,48.211,86.652,77.542,80.195,76.077,79.503,77.882,74.331,73.328,76.97,75.476,79.243,78.753,71.762,43.924,41.958,81.11,82.675,81.015,83.407,82.69,42.226,44.688,44.37,41.621,80.664,84.359,45.108,44.979,45.061,80.032,81.199,81.835,43.299,44.198,44.111,86.085,86.936,87.166,46.43,47.475,45.022,90.838,91.126,91.649,49.031,48.963,46.537,,45.487,40.63,40.778,41.102,44.877,46.38153,46.98623,44.86005,40.79108,46.87039,44.74273,42.62977,43.12946,45.1263,44.79892,46.8525,,,46.40061,44.18503,45.12896,,,45.50401,44.86858,44.51188,43.8294,,,45.43311,45.32797,45.81352,44.52147,43.90979,45.38418,127.5569,86.14751,86.56876,85.85762,85.70666,87.84306,45.85401,44.85482,43.74234,44.59038,44.43822
