Cell,ID,Cell Made,Source,Type,Size,Temp,CyclR,FormR,Base,Pitch%,HTS,WorD,Other,Failed
PC088,RD1224,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,7.5,1,D,Pi,N
PC089,RD1224,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,7.5,1,D,Pi,N
PC090,RD1224,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,7.5,1,D,Pi,N
PC091,RD1310,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,4.2,1,D,Pi,N
PC092,RD1310,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,4.2,1,D,Pi,N
PC093,RD1310,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,4.2,1,D,Pi,N
PC094,RD1310,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,4.2,1,D,Pi,Y
PC095,RD1310,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,4.2,1,D,Pi,N
PC096,RD1312,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR45X,7,1,D,Pi,N
PC097,RD1312,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR45X,7,1,D,Pi,N
PC098,RD1312,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR45X,7,1,D,Pi,N
PC099,RD1312,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR45X,7,1,D,Pi,N
PC100,RD1312,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR45X,7,1,D,Pi,N
PC101,SG2,Int,Cmrcl,SG,50,45,0.2C/0.2C,1C/1C,No Data,No Data,No Data,No Data,No Data,N
PC102,SG2,Int,Cmrcl,SG,50,45,0.2C/0.2C,1C/1C,No Data,No Data,No Data,No Data,No Data,Y
PC103,SG2,Int,Cmrcl,SG,50,45,0.2C/0.2C,1C/1C,No Data,No Data,No Data,No Data,No Data,Y
PC104,SG2,Int,Cmrcl,SG,50,45,0.2C/0.2C,1C/1C,No Data,No Data,No Data,No Data,No Data,N
PC105,NG1,Int,Cmrcl,NG,50,45,0.2C/0.2C,1C/1C,No Data,No Data,No Data,No Data,No Data,N
PC106,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,N
PC107,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,Y
PC108,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,Y
PC109,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,N
PC110,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,N
PC111,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,N
PC112,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,N
PC113,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,Rate
PC114,RD1314,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR43X,5.5,1,D,Pi,Rate
PC115,RD1316,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR453,5.5,1,D,Pi,N
PC116,RD1316,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR453,5.5,1,D,Pi,N
PC117,RD1316,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR453,5.5,1,D,Pi,N
PC118,RD1316,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR453,5.5,1,D,Pi,N
PC119,RD1316,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR453,5.5,1,D,Pi,N
PC120,RD1316,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR453,5.5,1,D,Pi,N
PC121,RD1316,Int,CSL,CSL,200,45,0.2C/0.2C,1C/1C,PR453,5.5,1,D,Pi,N
PC122,RD1352,Int,CSL,CSL,100,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC123,RD1352,Int,CSL,CSL,100,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC124,RD1352,Int,CSL,CSL,100,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC125,RD1352,Int,CSL,CSL,100,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC126,RD1352,Int,CSL,CSL,100,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC127,RD1352,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC128,RD1352,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC129,RD1352,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC130,RD1352,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
PC131,RD1352,Int,CSL,CSL,50,45,0.2C/0.2C,1C/1C,PR39X,12.5,1,D,Pi,N
